mes,total_transfusoes,CH,CHPL,CHD,Plaquetas_Randomicas,Pool_Plaquetas,Plaquetas_Aferese,PFC,Crioprecipitado
JANEIRO,530,4,212,115,129,13,14,36,7
FEVEREIRO,497,7,173,117,91,16,7,53,33
MARÇO,513,13,142,112,84,19,4,76,63
ABRIL,464,14,167,97,106,11,4,58,7
MAIO,529,9,168,115,144,12,3,53,25
JUNHO,465,15,191,92,62,15,7,56,27
TOTAL,2998,62,1053,648,616,86,39,332,162
